,Unnamed: 0,scenario,mmsi,ship_type,width,length,draught,nav_status,timestamp,lat,lon,sog,cog,timestamp_obj,ts_mmsi,R_x,R_y,theta,V_x,V_y,lat_ts,lon_ts,sog_ts,cog_ts,f_min,DDV,TDV,V_TDV,V_chg,cog_TDV,cog_chg,theta_rad,distance,ts_dot,DDV_dot,cog_dot,sog_dot,distance_dot
21,21,11f259c828,636018610,Tanker,32.0,183.0,11.3,0,1577976810.0,56.132112,11.095527555555556,11.5,1.1111111111109722,2020-01-02 15:53:30,232003642,3.5177822800626704,-0.3191277750608171,176.6888888888891,-38.86050800147568,0.2007914809528509,56.190623,11.086008,8.5,177.8,0.4758482737364518,0.5241517262635482,0.0866728565662129,11.5,0.0,1.0421190138180758,-0.0689920972928963,3.08380286280154,3.5322280088830884,10.0,0.11534477742247373,-0.2688888888889096,0.0,-0.05778909089975626
22,22,11f259c828,636018610,Tanker,32.0,183.0,11.3,0,1577976820.0,56.132642,11.095542416666667,11.5,1.2499999999998863,2020-01-02 15:53:40,232003642,3.462370240425554,-0.3172825645301274,173.13333333333344,-38.95345365058933,1.1453135970955768,56.19023133333334,11.086078,8.583333333333332,174.38333333333333,0.333731338471492,0.6662686615285079,0.0859078680723238,11.5,0.0,1.2581827818180442,0.0081827818181579,3.021746711619518,3.476877321324312,10.0,0.14211693526495972,0.13888888888891415,0.0,-0.05535068755877637
23,23,11f259c828,636018610,Tanker,32.0,183.0,11.3,0,1577976830.0,56.1331756,11.0955554,11.5,1.659999999999911,2020-01-02 15:53:50,232003642,3.407859749007058,-0.3149507512712956,171.74526315789478,-38.8699768522927,1.262920381375339,56.189858263157895,11.086160631578949,8.557894736842105,173.40526315789472,0.3123833194503297,0.6876166805496703,0.0846887150176616,11.5,0.0,1.3775874799998813,-0.2824125200000298,2.997520316809378,3.4223825099817233,10.0,0.021348019021162346,0.4100000000000248,0.0,-0.05449481134258871
24,24,11f259c828,636018610,Tanker,32.0,183.0,11.3,0,1577976840.0,56.13371566666667,11.095571333333334,11.5,1.8333333333332007,2020-01-02 15:54:00,232003642,3.3532399865887945,-0.3126118853499993,171.20350877192993,-38.75373626755693,1.2891412844207846,56.18948984210526,11.086246421052632,8.505263157894737,173.03684210526316,0.3059241929674058,0.6940758070325942,0.0835174676058723,11.5,0.0,1.4799999999999045,-0.3533333333332962,2.988064919037171,3.3677803667282253,10.0,0.006459126482923905,0.1733333333332896,0.0,-0.05460214325349799
25,25,11f259c828,636018610,Tanker,32.0,183.0,11.3,0,1577976850.0,56.134243,11.0955908,11.5,1.9799999999999045,2020-01-02 15:54:10,232003642,3.2952421730601285,-0.3106571833064901,172.55000000000007,-38.44000434187968,0.7693112332023817,56.1890525,11.0863243,8.32,174.53,0.3747814642520388,0.6252185357479612,0.0820414226155489,11.5,0.0,1.501396483999885,-0.4786035160000195,3.011565624316217,3.30985329956691,10.0,-0.06885727128463304,0.1466666666667038,0.0,-0.05792706716131546
26,26,11f259c828,636018610,Tanker,32.0,183.0,11.3,0,1577976860.0,56.13476,11.095622,11.5,2.0599999999998886,2020-01-02 15:54:20,232003642,3.242924509673007,-0.3097582125222841,172.37000000000012,-38.223375629034905,0.74546016826735,56.1886993,11.0863824,8.209999999999999,174.43,0.376719430456183,0.623280569543817,0.0810716640229536,11.5,0.0,1.497704119999867,-0.5622958800000215,3.008424031662628,3.2576846878823176,10.0,-0.0019379662041441037,0.07999999999998408,0.0,-0.0521686116845923
27,27,11f259c828,636018610,Tanker,32.0,183.0,11.3,0,1577976870.0,56.13528088888889,11.095647555555557,11.5,1.9555555555554065,2020-01-02 15:54:30,232003642,3.1876012910257834,-0.3077819395914089,171.94444444444457,-37.99718304859195,0.9103218592722274,56.1883,11.086467,8.1,173.9,0.3529756100692297,0.6470243899307704,0.0803315647128622,11.5,0.0,1.409676403999864,-0.5458791515555426,3.00099668606803,3.2024259106008826,10.0,0.02374382038695333,-0.10444444444448209,0.0,-0.05525877728143502
28,28,11f259c828,636018610,Tanker,32.0,183.0,11.3,0,1577976880.0,56.13581075,11.095679083333334,11.5,1.9416666666665487,2020-01-02 15:54:40,232003642,3.134953267156159,-0.3066625274171196,172.79166666666674,-37.85874224246378,0.6729924523475632,56.18795416666667,11.086532,8.016666666666666,174.73333333333335,0.3847879602039805,0.6152120397960195,0.0789768223191032,11.5,0.0,1.4383694222220915,-0.503297244444457,3.01578350334187,3.1499164898414262,10.0,-0.03181235013475092,-0.013888888888857753,0.0,-0.052509420759456304
29,29,11f259c828,636018610,Tanker,32.0,183.0,11.3,0,1577976890.0,56.136352,11.0957256,11.5,1.9999999999998863,2020-01-02 15:54:50,232003642,3.0784141505624656,-0.3063477718558715,174.10000000000014,-38.04927311524666,0.2907595638850906,56.187555,11.086588,8.1,176.1,0.4369834926370051,0.5630165073629949,0.0766822701489975,11.5,0.0,1.453832648888761,-0.5461673511111254,3.03861822772213,3.093619666297763,10.0,-0.05219553243302455,0.05833333333333757,0.0,-0.056296823543663166
30,30,11f259c828,636018610,Tanker,32.0,183.0,11.3,0,1577976900.0,56.1368834,11.0957683,11.5,2.029999999999916,2020-01-02 15:55:00,232003642,3.026133780692989,-0.3064105086525366,174.34272727272742,-37.877421978389705,0.1930973190069017,56.18721681818182,11.08662890909091,8.00909090909091,176.37272727272727,0.4500358242941117,0.5499641757058883,0.0755287244764178,11.5,0.0,1.535993430302912,-0.4940065696970039,3.0428546178156073,3.041606986193967,10.0,-0.01305233165710662,0.03000000000002956,0.0,-0.052012680103795894
